,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
347,70819818,Entire home/apt,41,4.5,10,3,599,53.344672,-6.237368
348,100336076,Entire home/apt,8,5,6,3,576,53.330863,-6.244021
349,136871137,Entire home/apt,0,0,8,4,618,53.340127,-6.2442
350,82068653,Entire home/apt,35,5,12,6,599,53.361038,-6.269356
351,2130281,Entire home/apt,6,4.5,6,3,450,53.335268,-6.278217
352,37661430,Entire home/apt,16,5,10,4,358,53.340813,-6.275798
353,2856748,Entire home/apt,0,0,3,1,359,53.350689,-6.259341
354,37676016,Entire home/apt,0,0,6,4,359,53.29178,-6.168466
355,41707734,Entire home/apt,1,0,6,3,354,53.334817,-6.216944
356,36019720,Entire home/apt,8,5,7,3,330,53.250757,-6.121351
357,946976,Entire home/apt,0,0,6,4,354,53.293664,-6.179862
358,33591522,Entire home/apt,0,0,6,3,359,53.326665,-6.231389
359,62116876,Entire home/apt,0,0,3,0,312,53.331,-6.248743
360,32511712,Entire home/apt,5,5,8,4,510,53.278886,-6.122015
361,2856748,Entire home/apt,0,0,4,1,336,53.351666,-6.266072
362,12718443,Entire home/apt,1,0,4,2,359,53.328582,-6.26444
363,12237819,Entire home/apt,2,0,8,3,359,53.344416,-6.234143
364,31465147,Entire home/apt,2,0,8,5,330,53.311465,-6.206089
365,31898810,Entire home/apt,10,4.5,7,4,359,53.278945,-6.270428
366,59608026,Entire home/apt,0,0,5,2,359,53.346741,-6.248119
367,134906619,Entire home/apt,0,0,8,3,330,53.314054,-6.251843
368,76505137,Entire home/apt,23,5,7,4,359,53.293009,-6.239758
369,126593854,Shared room,13,4.5,1,1,22,53.300319,-6.177259
370,29088762,Shared room,30,4.5,1,1,23,53.350861,-6.275037
371,89743027,Shared room,32,4.5,4,1,25,53.367644,-6.259643
372,85540361,Shared room,6,4.5,3,1,30,53.357952,-6.249017
373,74793173,Shared room,19,4,1,1,24,53.313362,-6.246811
374,68700268,Shared room,4,4.5,1,1,21,53.323334,-6.259632
375,63883301,Shared room,1,0,1,1,25,53.284487,-6.199186
376,33687110,Shared room,41,4.5,1,1,24,53.325008,-6.264224
377,117113793,Shared room,20,4.5,1,1,24,53.354737,-6.252359
378,37961443,Shared room,4,4.5,1,1,20,53.348207,-6.283253
379,34427686,Entire home/apt,6,4,7,2,264,53.370697,-6.330677
